src_ip;oct1;oct2;oct3;oct4;pca1;pca2
192.168.122.50;192;168;122;50;-48.85192721261616;2.7371498325065455
192.168.122.51;192;168;122;51;-47.85195301160757;2.744332959765514
192.168.122.52;192;168;122;52;-46.85197881059897;2.751516087024483
192.168.122.53;192;168;122;53;-45.852004609590374;2.758699214283452
192.168.122.54;192;168;122;54;-44.852030408581776;2.7658823415424196
192.168.122.56;192;168;122;56;-42.852082006564586;2.780248596060358
192.168.122.58;192;168;122;58;-40.85213360454738;2.794614850578295
192.168.122.59;192;168;122;59;-39.852159403538785;2.8017979778372633
192.168.122.61;192;168;122;61;-37.85221100152159;2.816164232355201
192.168.122.64;192;168;122;64;-34.8522883984958;2.8377136141321064
192.168.122.66;192;168;122;66;-32.852339996478605;2.8520798686500446
192.168.122.67;192;168;122;67;-31.852365795470007;2.859262995909013
192.168.122.68;192;168;122;68;-30.852391594461412;2.8664461231679814
192.168.122.70;192;168;122;70;-28.85244319244422;2.8808123776859187
192.168.122.72;192;168;122;72;-26.85249479042702;2.8951786322038555
192.168.122.74;192;168;122;74;-24.852546388409827;2.909544886721793
192.168.122.76;192;168;122;76;-22.85259798639263;2.9239111412397305
192.168.122.77;192;168;122;77;-21.852623785384036;2.9310942684986987
192.168.122.79;192;168;122;79;-19.852675383366844;2.9454605230166364
192.168.122.80;192;168;122;80;-18.852701182358242;2.952643650275605
192.168.122.88;192;168;122;88;-10.852907574289466;3.010108668347354
192.168.122.93;192;168;122;93;-5.853036569246479;3.0460243046421978
192.168.122.94;192;168;122;94;-4.8530623682378815;3.0532074319011664
192.168.122.96;192;168;122;96;-2.8531139662206866;3.067573686419103
192.168.122.99;192;168;122;99;0.14680863680510522;3.089123068196009
192.168.122.104;192;168;122;104;5.146679641848092;3.1250387044908523
192.168.122.105;192;168;122;105;6.146653842856689;3.1322218317498214
192.168.122.106;192;168;122;106;7.146628043865285;3.1394049590087896
192.168.122.107;192;168;122;107;8.146602244873884;3.146588086267759
192.168.122.109;192;168;122;109;10.146550646891079;3.1609543407856955
192.168.122.110;192;168;122;110;11.146524847899675;3.168137468044665
192.168.122.111;192;168;122;111;12.146499048908275;3.175320595303633
192.168.122.112;192;168;122;112;13.14647324991687;3.1825037225626014
192.168.122.113;192;168;122;113;14.146447450925468;3.18968684982157
192.168.122.114;192;168;122;114;15.146421651934064;3.1968699770805387
192.168.122.115;192;168;122;115;16.14639585294266;3.2040531043395077
192.168.122.118;192;168;122;118;19.146318455968455;3.2256024861164136
192.168.122.119;192;168;122;119;20.146292656977053;3.2327856133753823
192.168.122.120;192;168;122;120;21.146266857985655;3.2399687406343505
192.168.122.121;192;168;122;121;22.146241058994246;3.2471518678933196
192.168.122.122;192;168;122;122;23.146215260002844;3.2543349951522886
192.168.122.123;192;168;122;123;24.146189461011442;3.261518122411257
